radlex_code,preferred_description
RID1919,axillary pouch of inferior glenohumeral ligament
RID1917,inferior glenohumeral ligament
RID24731,t1 branch to left splenius cervicis
RID49172,area of insertion of right vastus intermedius
RID22648,l2 posterior division of right lumbar plexus
RID30626,serosa of left lobe of liver
RID43524,left prostatic sinus
RID40772,head region of muscle body of clavicular part of deltoid
RID12144,cervical branch of facial nerve
RID25329,posterior branch of lateral cutaneous branch of left ninth intercostal nerve
RID21604,trunk of vagal branch to posterior wall of left external acoustic meatus
RID11193,transdermal
RID38366,articular branch of dorsal branch of second lumbar artery
RID48887,lateral nail fold of right second toe
RID37295,multiform layer of Brodmann area 27
RID35798,sesamoid bone of foot
RID19237,nerve to gluteus maximus (1)
RID30607,serosa of distal part of jejunum
RID27662,left corticobulbar tract
RID33622,internal surface of posterior wall of sigmoid colon
RID30966,portal venous tree
RID41878,diaphysis of third metatarsal bone
RID45352,peripheral segment of right radial nerve
RID29314,external longitudinal muscle layer of isthmus of right uterine tube
RID28139,dura mater of anterior root of fifth sacral nerve
RID35759,subdivision of external surface of frontal bone
RID18819,root of right seventh cervical nerve
RID33380,adventitia of right posterior superior minor calyx
RID10655,linear transmission mode
RID26660,right band of Giacomini
RID38830,left side of transition zone of prostate
RID50009,segment of thyroid cartilage
RID48520,space of anterior compartment of left leg
RID43834,proximal tendon of latissimus dorsi
RID16328,set of muscular branches of intercostal nerves
RID29020,source quantity type
RID30686,wall of common bile duct
RID49410,subtendinous bursa of right triceps brachii
RID49592,venous treatment procedure
RID25617,adductor brevis branch of anterior branch of right obturator nerve
RID33669,mucosa of uterine part of uterine tube
RID42406,head of second lumbrical of hand
RID34059,t4 segment of right anterior corticospinal tract
RID18025,right internal medullary lamina
RID17220,white matter of right uncus
RID20888,supralemniscal nucleus
RID32823,lumen of accessory pancreatic duct
RID41674,tendon of third lumbrical of foot
RID31389,set of colic lymphatic vessels
RID39952,cubital compartment
RID20750,left intercalated nucleus of medulla
RID25196,descending branch of meningeal branch of right sixth cervical nerve
RID20149,lateral branch of variant inferior cervical ganglion
RID16253,set of short cerebral association nerve fasciculi in left cerebral hemisphere
RID28412,dura mater of posterior rootlet of right fifth lumbar nerve
RID10984,avalanche diode
RID49307,trochlea of right femur
RID36616,medial segment of right lingual gyrus
RID22228,trunk of infrapatellar branch of left saphenous nerve
RID18302,superciliary border
RID19390,neuroglial network of gray matter of L3 segment
RID32244,left longus colli
RID36520,artery of right tuber cinereum
RID33043,anterior pararenal fat
RID15991,vasculature of neuraxis
RID15768,segment of gray matter of spinal cord
RID23403,nerve to left fourth internal intercostal muscle
RID35528,shading sign
RID24739,t2 branch to longissimus cervicis
RID14673,branch of auricular branch of vagus nerve to floor of external acoustic meatus
RID49407,subtendinous bursa of right trapezius
RID21947,trunk of branch to greater occipital nerve
RID41251,tendon of right abductor ossis metatarsi quinti
RID12112,mental nerve
RID42288,head of left ulna
RID24985,transverse branch of meningeal branch of right fifth lumbar nerve
RID11316,procedural artifact
RID10890,endorectal transducer
RID14245,branch of greater palatine nerve to gingiva
RID30243,set of renal columns
RID16290,set of lesser palatine nerves
RID47303,median nerve component of posterior root of first thoracic nerve
RID35185,egg-on-its-side heart
RID45417,peripheral segment of left inferior gluteal nerve
RID33486,peritoneal fold
RID45842,ClinHx
RID33668,mucosa of region of uterine tube
RID44948,muscular branch of right deep cervical artery
RID25889,left Brodmann area 41
RID33815,orbital part of left middle frontal gyrus
RID17114,white matter of angular gyrus
RID15259,lateral dorsal digital branch of radial nerve to left index finger
RID49263,area of origin of medial head of left gastrocnemius
RID17914,c3 segment of left posterior spinocerebellar tract
RID23365,nerve to first external intercostal muscle
RID27064,l4 segment of marginal zone of left dorsal gray column of spinal cord
RID32680,vesicovaginalis
RID33676,mucosa of right uterine tube proper
RID19276,epithelium of choroid plexus
RID47865,median nerve nucleus of left ventral column
RID16614,neural network of leg
RID15376,lateral calcaneal branch of left sural nerve
RID16025,vasculature of T3 segment of spinal cord
RID32436,third lateral lumbar intertransversarius
RID43298,normal perilesional tissue
RID41085,tendon of left levator scapulae
RID11756,chemical element
RID46674,medial region of medial condyle of left tibia
RID39485,vascular anomaly (liver)
RID27948,common palmar digital branch of ulnar nerve to left little finger
RID34437,pelvic brim
RID10438,lateral supine position
RID36605,pharyngeal branch of artery of pterygoid canal
RID30932,areolar connective tissue of lamina propria mucosae of descending colon
RID48400,distal tendon of extensor digitorum longus to left fourth toe
RID24837,nerve to seventh levator costae
RID24435,t5 branch to spinalis thoracis
RID44384,central segment of cervical spinal nerve
RID49409,subtendinous bursa of triceps brachii
RID35265,heel pad sign
RID25714,nerve to palatoglossus
RID17491,t1 segment of gracile fasciculus of spinal cord
RID40993,dorsal ligament of carpometacarpal joint of left thumb
RID42208,anterior surface of superior angle of scapula
RID22420,trunk of soleus branch of tibial nerve
RID39737,proximal epiphysis of middle phalanx of left ring finger
RID25536,labium majus branch of right ilioinguinal nerve
RID38261,subdivision of right hepatic portal vein
RID43227,distal region of clavicular part of deltoid
RID27795,nerve to right levator palpebrae superioris
RID16414,set of intermediate ganglia
RID16580,neural network of pectoral girdle
RID27186,s1 segment of right nucleus proprius of spinal cord
RID691,lateral glandular branch of superior thyroid artery
RID6910,commissural white matter tract
RID6919,rostrum of corpus callosum
RID6916,splenium of corpus callosum
RID6917,body of corpus callosum
RID6911,anterior commissure
RID6915,corpus callosum
RID6914,posterior commissure
RID6918,genu of corpus callosum
RID50379,set of ankle arteries
RID10937,multihole collimator
RID40492,belly of left adductor hallucis
RID22557,trunk of muscular branch of deep fibular nerve
RID39603,anteromedial surface of diaphysis of humerus
RID32059,pre-aortic lymph node group proper
RID20155,inferior cervical cardiac nerve
RID35310,intraosseous gas sign
RID45278,central segment of suprascapular nerve
RID15347,external urethral sphincter branch of right perineal nerve
RID26229,brodmann area 37 of temporal lobe
RID10087,helicis major muscle
RID13298,portion of tissue
RID32466,left fifth thoracic rotator
RID24026,lateral branch of posterior ramus of right fourth thoracic nerve
RID14383,branch of left lingual nerve to left sublingual ganglion
RID40794,distal region of muscle body of teres minor
RID11157,intratympanic
RID47105,segment of C7 root of median nerve
RID24264,c2 branch to multifidus
RID26534,left middle transverse frontopolar gyrus
RID19765,right fourth thoracic spinal ganglion
RID35860,zone of aorta
RID24351,c8 branch to spinalis capitis
RID43355,arterial phase hyperenhancement
RID49697,extreme fibroglandular tissue
RID24857,nerve to ninth levator costae
RID50189,Anterior part of right side of basal part of transition zone of prostate
RID49136,base of patella
RID15228,branch of posterior muscular branch of left radial nerve to medial head of left triceps brachii
RID25878,right Brodmann area 36
RID19491,neuronal component of S5 segment
RID34447,parietal vein
RID23797,s4 root of right pudendal nerve
RID37374,lamina of Brodmann area 32
RID24967,transverse branch of meningeal branch of left eleventh thoracic nerve
RID45665,moderately well-defined margin
RID33018,thoraco-abdominal junction
RID30290,taenia omentalis of cecum
RID11842,niobium
RID25668,nerve to left obturator internus
RID32597,inferior pancreaticoduodenal lymphatic vessel
RID40192,muscle body of right platysma
RID39893,epiphysis of radius
RID25107,descending branch of meningeal branch of right first thoracic nerve
RID40753,short head region of muscle body of biceps brachii
RID46558,segment of inferior subscapular nerve nucleus of spinal cord
RID15174,left posterior antebrachial cutaneous nerve
RID16257,set of cerebral projection nerve fasciculi
RID14046,left anterior cingulate gyrus
RID37148,plexiform layer of right Brodmann area 20
RID10180,lateral ligament of malleus
RID29803,wall of zone of uterus
RID46335,c5 dorsal column nucleus of musculocutaneous nerve
RID24646,c5 branch to longissimus cervicis
RID42688,surface of tendon of long head of left triceps brachii
RID24883,lateral branch of posterior ramus of left twelfth thoracic nerve to left longissimus thoracis
RID43695,weight-bearing
RID25275,anterior branch of lateral cutaneous branch of third intercostal nerve
RID23609,pleural branch of right tenth intercostal nerve
RID19595,neuronal component of white matter of medulla oblongata
RID843,tracheal branch of inferior thyroid artery
RID49839,nephrostomy tube
RID26339,brodmann area 46 of left inferior frontal gyrus
RID31463,gastroduodenal junction
RID38133,segmental branch of splenic artery
RID29385,region of muscle layer of organ
RID12470,flip angle
RID11776,oxygen
RID25772,communicating branch of anterior interosseous nerve with ulnar nerve
RID43491,left half of middle region of prostate
RID50203,Left side of basal part of peripheral zone of prostate
RID50137,Lung-RADS 2
RID25437,nerve to right first medial lumbar intertransversarius
RID42533,deltoid tuberosity of right humerus
RID38423,prelaminar branch of spinal branch of left second lumbar artery
RID3641,pigmented villonodular synovitis
RID364,corpus cavernosum
RID3642,plant thorn synovitis
RID3644,synovitis due to foreign material
RID3643,proliferative synovitis
RID3640,pannus
RID3647,traumatic synovitis
RID3645,silicone synovitis
RID3646,starch synovitis
RID3649,tendinitis
RID3648,villonodular synovitis
RID21944,trunk of branch to great auricular nerve
RID15966,perineal branch of posterior femoral cutaneous nerve
RID29685,left gastric lymphatic chain
RID13807,body of left lateral ventricle
RID35170,double posterior cruciate ligament sign
RID16729,neural network of upper lobe of left lung
RID23230,c3 root of great auricular nerve
RID35591,string-of-pearls sign of bowel
RID21856,trunk of left eighth cervical nerve
RID20388,gray matter of gyrus of insula
RID36883,plexiform layer of left Brodmann area 6
RID17415,t12 segment of left dorsal funiculus of spinal cord
RID41036,proximal tendon of clavicular part of left deltoid
RID48528,space of deep part of posterior compartment of right leg
RID44253,preganglionic segment of posterior root of second lumbar spinal nerve
RID26236,brodmann area 38 of right middle temporal gyrus
RID30600,serosa of descending part of duodenum
RID21860,trunk of left first thoracic nerve
RID26892,c7 segment of left substantia gelatinosa
RID26974,substantia gelatinosa of coccygeal segment of dorsal gray column of spinal cord
RID18611,right trochlear nerve tract
RID23954,lateral branch of posterior ramus of right fifth cervical nerve
RID20961,nucleus of lateral olfactory tract
RID21724,trunk of branch of recurrent laryngeal nerve to mucosa of larynx
RID16997,white matter of right cerebral hemisphere
RID17729,left anterior corticospinal tract of spinal cord
RID41810,diaphysis of left fourth metacarpal bone
RID26502,segment of parietal lobe
RID25957,brodmann area 5 of anterior segment of left paracentral lobule
RID40547,intermediate belly of extensor digitorum brevis
RID33359,adventitia of major calyx
RID46872,axillary nerve component of anterior root of left fifth cervical nerve
RID13989,anterior part of left middle temporal gyrus
RID46116,trunk of branch of seventh cervical nerve
RID25968,brodmann area 7 of right inferior parietal lobule
RID15950,neural tissue of sacral nerve
RID36048,right lateral lacuna
RID15063,medial dorsal digital branch of ulnar nerve to little finger
RID43844,tendon of vastus medialis
RID49332,area of insertion of biceps femoris
RID39160,measurement unit
RID18920,anterior rootlet of right second thoracic nerve
RID16785,neural network of bony part of left fourth metatarsal bone
RID24076,articular branch of posterior ramus of left eighth thoracic nerve
RID49374,right semimembranous bursa
RID29723,intermediate colic lymphatic chain
RID37694,multiform layer of Brodmann area 48
RID39537,set of ovaries
RID43990,tributary of radial vein
RID137,second part of duodenum
RID1371,visceral pleura
RID1374,right major fissure
RID1372,pleural fissure
RID1379,left major fissure
RID1370,parietal pleura
RID1378,left pleural fissure
RID1376,right minor fissure
RID1373,right pleural fissure
RID35223,floating aorta sign
RID27697,left vestibulocochlear nerve
RID34963,central radiation of right thalamus
RID12166,cochlear ganglion
RID42917,distal metaphysis of middle phalanx of right little finger
RID11520,local tumor progression
RID36360,anterior meningeal branch of left anterior ethmoidal artery
RID19255,plexus branch of anterior branch of left lateral femoral cutaneous nerve with left intermediate femoral cutaneous nerve
RID39111,infrapedicular
RID25064,ascending branch of meningeal branch of right eleventh thoracic nerve
RID23151,c4 branch to right scalenus anterior
RID41520,tendon of right flexor digitorum superficialis to right middle finger
RID21985,trunk of left medial supraclavicular nerve
RID49872,superficial needle biopsy
RID35060,brownian movement sign
RID36716,internal granular layer of right temporal lobe
RID40737,belly of right teres minor
RID32631,region of surface of pancreas
RID26933,t12 segment of substantia gelatinosa
RID32788,set of interspinales lumborum
RID991,right lower lobe posterior segment artery
RID9919,scalp
RID9915,parotid fascia
RID9918,deep layer of temporal fascia
RID9910,deep part of masseter muscle
RID9911,medial pterygoid muscle
RID9914,masseteric fascia
RID9917,superficial layer of temporal fascia
RID9912,temporalis muscle
RID9916,temporal fascia
RID9913,fascia of head
RID1269,right anterior basal segmental bronchus
RID126,set of gastric folds
RID1265,right superior segmental bronchus
RID1267,right medial basal segmental bronchus
RID1264,right lower lobe bronchus
RID1260,lateral segmental bronchus
RID1262,medial segmental bronchus
RID18990,posterior rootlet of second cervical nerve
RID31778,ascending limb of loop of Henle
RID13408,portion of connective tissue
RID42580,region of surface of scalenus anterior
RID47465,inferior subscapular nerve component of anterior root of left sixth cervical nerve
RID44198,preganglionic segment of posterior root of right fourth cervical spinal nerve
RID22300,trunk of communicating branch to right posterior labial nerve
RID36858,multiform layer of Brodmann area 4
RID27707,left spinal accessory nerve
RID39946,palm compartment of right hand
RID35405,omega sign
RID37510,plexiform layer of left Brodmann area 39
RID46051,bronchovascular
RID49267,medial epicondyle of left femur
RID27538,t6 segment of lateral gray column of spinal cord
RID27501,central segment of ventral gray column of spinal cord
RID38901,glandular part of central zone of prostate
RID22177,trunk of anterior branch of right lateral femoral cutaneous nerve
RID35707,widened suture sign
RID30488,main portal scissura
RID48031,posterior cord segment of right sixth cervical nerve
RID32203,lumen of right posterior intermediate minor calyx
RID43144,abductor digiti minimi of left hand
RID45681,tumor thrombus in portal vein
RID22398,trunk of adductor magnus branch of left sciatic nerve
RID33169,pelvic part of umbilical prevesical fascia
RID24299,c5 branch to left multifidus
RID38948,sacral lymphatic chain
RID17670,left ventral trigeminal tract
RID11488,accentuation of pulsatile flow artifact
RID25476,nerve to right second thoracic rotator
RID12752,software image fusion
RID29354,muscle layer of fimbria of left uterine tube
RID21057,motor nucleus of left facial nerve
RID37865,dorsal tributary of left first lumbar vein
RID41720,right intermediate tendon
RID16139,nervous system of right upper limb
RID35180,drowned hilus sign
RID40529,belly of deep head of flexor pollicis brevis
RID48023,lateral cord segment of sixth cervical nerve
RID18307,left medial occipital border
RID36427,posteromedial branch of right callosomarginal artery
RID46600,belly of left vastus intermedius
RID33071,iliac fascia
RID46330,c7 dorsal column nucleus of lateral pectoral nerve
RID15056,nerve to flexor carpi ulnaris
RID49364,right lateral meniscus
RID35363,mandibular mantle sign
RID20643,dorsomedial nucleus of pons
RID16507,set of spinal ganglia
RID35869,zone of left coronary artery
RID33971,granular layer of cortex of hemisphere of cerebellum
RID17558,t6 segment of right cuneate fasciculus of spinal cord
RID45384,peripheral segment of left lateral femoral cutaneous nerve
RID44878,infraspinatus muscle branch of right suprascapular artery
RID24946,transverse branch of meningeal branch of left fourth thoracic nerve
RID48652,skin of lateral part of left ankle
RID47181,middle trunk segment of lateral root of left median nerve
RID25340,nerve to interspinalis cervicis
RID37181,multiform layer of Brodmann area 21
RID25979,brodmann area 7 of paracentral lobule
RID48295,anterior zone of lateral intercondylar tubercle of left tibia
RID23416,nerve to left fifth internal intercostal muscle
RID39967,base of spine of right scapula
RID14536,nerve to right buccinator
RID26546,temporal segment of left fusiform gyrus
RID41321,tendon of left iliocostalis thoracis
RID26451,central zone of nerve
RID16252,set of short cerebral association nerve fasciculi in right cerebral hemisphere
RID29452,serosa of spleen
RID16927,vastus intermedius branch of left femoral nerve (2)
RID18052,left semioval center
RID38277,lateral inferior segmental branch of left portal vein
RID33526,medial surface of ovary
RID13116,hepatovenous segment IVb
RID20076,lateral branch to lateral part of internal carotid plexus
RID43469,right prostatic arterial plexus
RID31086,nodular lymphoid tissue
RID16324,set of proper plantar digital nerves
RID30535,aggregated lymphoid follicle of small intestine
RID24320,c6 branch to right spinalis capitis
RID38031,fifth lumbar artery
RID23744,l2 anterior division of right lumbar plexus
RID42039,surface of left inferior transverse scapular ligament
RID31467,vasculature of alimentary system
RID31798,outer cortex of kidney
RID33010,left lateral division of liver
RID15113,branch of deep branch of ulnar nerve to third lumbrical of left hand
RID39282,T3 tumor stage
RID43235,distal region of spinal part of left deltoid
RID50705,right salivary gland
RID21229,surface of telencephalon
RID23246,white communicating ramus of left subcostal nerve
RID35936,branch of posterior superior alveolar artery
RID25448,nerve to fifth medial lumbar intertransversarius
RID28396,dura mater of posterior rootlet of right twelfth thoracic nerve
RID13395,white matter of neuraxis
RID22051,trunk of suprascapular nerve
RID43333,displaces portal vein
RID21175,posterior nucleus of lateral funiculus of spinal cord
RID21951,trunk of cutaneous branch to scalp behind right auricle
RID29008,fluoroscopy image capture mode
RID10030,naris
RID35277,hole-within-a-hole pattern
RID34080,anterior branch of left superior longitudinal fasciculus
RID17404,t9 segment of dorsal funiculus of spinal cord
RID38044,lumen of intestinal lymphatic trunk
RID26535,frontomarginal gyrus
RID14264,branch of lesser palatine nerve to soft palate
RID45034,humeral head branch of anterior circumflex humeral artery
RID27275,cervical segment of left dorsal gray column of spinal cord
RID18347,right anterior quadrangular lobule
RID43035,cartilage of right acromion
RID16114,vasculature of white matter of L3 segment
RID47574,superior subscapular nerve component of trunk of fifth cervical nerve
RID47728,medial pectoral nerve component of posterior root of first thoracic nerve
RID37588,external granular layer of right Brodmann area 43
RID28978,segment of corona radiata
RID47107,proximal segment of C7 root of right median nerve
RID23987,medial branch of posterior ramus of left third thoracic nerve
RID36989,internal pyramidal lamina of right Brodmann area 11
RID30545,wall of left uterine tube proper
RID31745,colic impression of liver
RID157,ascending colon
RID1579,placement of tympanostomy tube
RID1574,placement of total ossicular replacement
RID1578,placement of stapes prostheses
RID1573,ear surgery
RID1572,right-ventricle-to-pulmonary artery conduit
RID1570,arterial switch
RID1571,Fontan procedure
RID1576,placement of partial ossicular replacement
RID18294,eighth cervical nerve
RID25750,lumbar subsegment of spinal cord
RID11142,intrapericardial
RID38452,anterior radicular branch of spinal branch of right second lumbar artery
RID40321,muscle body of right flexor pollicis brevis
RID1276,left upper lobe bronchus
RID1271,right lateral basal segmental bronchus
RID1275,left main bronchus
RID1277,superior division bronchus
RID1273,right posterior basal segmental bronchus
RID1278,apicoposterior segmental bronchus
RID11495,interventional outcome
RID20110,variant gray communicating ramus of middle cervical ganglion to seventh cervical spinal nerve
RID5401,pseudarthrosis
RID5400,chondromalacia
RID5402,overtubulation
RID5403,skull shape disorder
RID12156,cochlear communicating branch of vestibular nerve
RID10156,footplate of stapes
RID32428,left fifth medial lumbar intertransversarius
RID30765,vasculature of compartment of male abdomen
RID21131,left accessory cuneate nucleus of spinal cord
RID32468,right sixth thoracic rotator
RID26468,prefrontal segment of frontal lobe
RID22037,trunk of branch of brachial nerve plexus
RID40947,left pisometacarpal ligament
RID42337,short head of left biceps femoris
RID50140,Lung-RADS 4B
RID28336,dura mater of posterior rootlet of cervical nerve
RID30419,wall of abdominal part of left ureter
RID49368,synovial capsule proper of knee joint
RID47453,inferior subscapular nerve component of trunk proper of anterior ramus of left sixth cervical nerve
RID30696,wall of posterior inferior segmental hepatic duct
RID48399,distal tendon of extensor digitorum longus to right fourth toe
RID17592,left pallidotegmental fasciculus
RID44695,right common cochlear artery
RID31152,region of surface of spleen
RID34413,metabolic disease
RID17370,c7 segment of dorsal funiculus of spinal cord
RID13745,medulla segment of dura mater
RID48576,subdivision of anterior part of knee
RID25956,brodmann area 5 of anterior segment of right paracentral lobule
RID16850,gray matter of T10 segment of spinal cord
RID40382,muscle body of left levator ani
RID11998,cranial nerve
RID48558,medial part of tendon of quadriceps femoris
RID13683,brodmann area 17 of left cuneus
RID21575,trunk of left lateral ampullary nerve
RID14921,posterolateral ramus of posterior diaphragmatic branch of phrenic nerve
RID46298,anterior division of anterior ramus of right eighth cervical nerve
RID32698,external surface of isthmus of left uterine tube
RID46799,musculocutaneous nerve component of trunk of anterior division of anterior ramus of right sixth cervical nerve
RID46649,distal region of muscle body of right vastus medialis
RID12471,frequency matrix
RID36136,multiform layer of cerebral cortex
RID18804,root of right second cervical nerve
RID10841,restricted field of view body gradient coil
RID39484,undistorted vessels
RID36147,superior anastomotic vein
RID43886,tendon of trapezius
RID48474,right popliteus
RID35681,vascular cut-off sign
RID43503,space of periprostatic compartment
RID14426,nerve to oblique muscle of right auricle
RID46221,peripheral segment of hypoglossal nerve
RID30534,solitary lymphoid follicle of appendix
RID31697,region of parenchyma of spleen
RID21696,trunk of esophageal branch of recurrent laryngeal nerve
RID41688,tendon of third dorsal interosseous of right hand
RID40871,ligament of left wrist joint
RID39633,anterior intercondylar part of tibia
RID29522,peritoneal fluid
RID44359,postganglionic segment of posterior root of left fourth lumbar spinal nerve
RID39926,lower zone of right subscapularis
RID42864,distal metaphysis of left second metacarpal bone
RID42964,distal metaphysis of right tibia
RID14179,left tentorial nerve
RID37508,plexiform layer of Brodmann area 39
RID41262,tendon of tensor veli palatini
RID26361,brodmann area 48 of parahippocampal gyrus
RID14843,nerve to superior belly of right omohyoid
RID17972,lumbar segment of left posterior spinocerebellar tract
RID37009,internal pyramidal lamina of left Brodmann area 12
RID40109,notch region of scapula
RID21702,trunk of branch of recurrent laryngeal nerve to muscle of larynx
RID29135,Little Leaguer elbow
RID42581,anterior surface of scalenus anterior
RID16321,set of dorsal digital branches of radial nerve
RID32975,posterior mediastinal space
RID15025,proper palmar digital branch of median nerve
RID33510,left uterovesical fold
RID19925,parasympathetic ganglion
RID47847,axillary nerve nucleus of right dorsal column
RID13060,imaging procedure
RID40642,belly of triceps brachii
RID17593,right dentatothalamic tract
RID27355,l4 segment of right dorsal gray column of spinal cord
RID17072,white matter of left lateral orbital gyrus
RID19729,right first cervical spinal ganglion
RID43577,weight-bearing position
RID21868,trunk of right fourth thoracic nerve
RID45498,c5 root of right inferior subscapular nerve
RID46014,cavitated
RID21563,trunk of branch of vestibular nerve
RID13747,spinal dura mater
RID29754,paracolic lymphatic chain of descending colon
RID46508,segment of medial pectoral nerve nucleus of dorsal column
RID18026,left internal medullary lamina
RID22164,trunk of labium majus branch of genital branch of left genitofemoral nerve
RID19936,otic ganglion
RID49913,antecubital
RID19171,right cervical sympathetic trunk
RID23556,branch of right eleventh intercostal nerve to right internal oblique
RID44258,preganglionic segment of posterior root of left third lumbar spinal nerve
RID36233,right cavernous artery
RID13009,simultaneous energy applied to multiple fibers
RID50205,Posterolateral part of right side of basal part of peripheral zone of prostate
RID22282,trunk of pudendal nerve
RID35089,cluster-of-grapes sign of uterus
RID31873,internal surface of left renal pelvis
RID24666,c6 branch to right longissimus capitis
RID31803,inner cortex of left kidney
RID12703,relative anisotropy map
RID14767,nerve to posterior crico-arytenoid
RID46740,distal segment of C7 root of left lateral pectoral nerve
RID27269,base of dorsal gray column
RID47870,ulnar nerve nucleus of ventral column
RID38531,lateral cutaneous branch of ventral branch of right fourth lumbar artery
RID46118,trunk of anterior ramus of right seventh cervical nerve
RID44727,left thalamogeniculate artery
RID31763,nephron
RID38796,ligament of intervertebral syndesmosis
RID29863,male superficial chest wall
RID14128,segment of hindbrain
RID31108,mesothelium of region of parietal peritoneum
RID23341,collateral branch of left fifth intercostal nerve
RID49045,reflected head of right rectus femoris
RID23800,visceral branch of anterior ramus of right fourth sacral nerve
RID33188,phrenicocolic ligament
RID41663,tendon of second plantar interosseous of left foot
RID28486,observations section
RID31901,visceral lymph node group of abdomen proper
RID44273,preganglionic segment of posterior root of right third sacral spinal nerve
RID38670,clear
RID16439,set of rootlets of left first cervical nerve
RID48278,lateral region of anterior intercondylar part of left tibia
RID19636,right superior occipitofrontal fasciculus
RID25422,nerve to right seventh posterior cervical intertransversarius
RID39699,proximal epiphysis of left fourth metacarpal bone
RID18519,lateral part of medial parabrachial nucleus
RID34796,right heart failure
RID44917,descending branch of left superficial cervical artery
RID36643,right interpeduncular vein
RID40123,right supraspinous fossa
RID45471,c8 root of right radial nerve
RID21850,trunk of left sixth cervical nerve
RID36978,plexiform layer of left Brodmann area 11
RID32236,rectus capitis anterior
RID14875,nerve to left vertical muscle of tongue
RID40091,margin of glenoid cavity
RID48546,superficial fascia of subdivision of lower limb
RID21744,trunk of renal branch of vagus nerve
RID20728,cuneiform nucleus
RID48519,space of anterior compartment of right leg
RID22225,trunk of branch of saphenous nerve
RID37498,internal granular layer of Brodmann area 38
RID39920,epiphysis of phalanx of finger
RID42141,interscalene triangle space
RID17840,right ventral spinocerebellar tract of spinal cord
RID16220,set of corticothalamic fibers
RID23980,medial branch of posterior ramus of right first thoracic nerve
RID14499,superficial buccal branch of facial nerve
RID37438,external pyramidal layer of Brodmann area 35
RID39849,distal epiphysis of middle phalanx of left little finger
RID34594,anterior cruciate ligament tear
RID22155,trunk of cremaster muscle branch of genital branch of left genitofemoral nerve
RID41823,diaphysis of distal phalanx of left thumb
RID13781,leptomeningeal sac of spinal cord
RID47274,median nerve component of trunk of anterior ramus of right first thoracic nerve
RID23234,c3 root of phrenic nerve
RID19394,neuroglial network of gray matter of S1 segment
RID41502,proximal tendon of right palmaris longus
RID36429,cingular branch of callosomarginal artery
RID25708,nerve to levator veli palatini
RID30983,tertiary follicle of right ovary
RID673,anterior temporal artery
RID6734,longitudinal pontine fiber
RID6738,corticopontine fiber
RID6736,corticonuclear fiber
RID6735,corticospinal tract
RID6731,basilar sulcus
RID6733,basis pontis
RID6737,corticoreticular fiber
RID6730,bulbopontine sulcus
RID6732,pontocerebellar trigone
RID6739,transverse pontine fiber
RID36304,right lateral palpebral artery
RID39231,pedicular
RID18260,left first sacral nerve
RID14787,nerve to left ceratocricoid
RID13538,segment of Brodmann area 4
RID16780,neural network of bony part of third metatarsal bone
RID25264,lateral branch of anterior cutaneous branch of tenth intercostal nerve
RID38245,interlobular branch of right inferior segmental renal artery
RID31626,mesothelium of serosa of right lobe of liver
RID32786,set of interspinales cervicis
RID27446,t10 segment of right ventral gray column of spinal cord
RID39805,distal epiphysis of phalanx of finger
RID32588,suprapyloric lymphatic vessel
RID43500,region of muscle layer of urethra
RID10461,patient orientation
RID34496,temporo-occipital part of right middle temporal gyrus
RID31071,external surface of jejunum
RID42458,head of subscapularis
RID40170,anterior zone of body of left scapula
RID39249,atherosclerotic aneurysm
RID24807,t5 branch to left iliocostalis cervicis
RID25659,branch of accessory obturator nerve to left hip joint
RID34596,cholangiohepatitis
RID978,right upper lobe apical segment artery
RID9789,posterior attachment of meniscus of temporomandibular joint
RID9785,cartilage of condyle of mandible
RID9788,anterior attachment of meniscus of temporomandibular joint
RID9783,superior compartment of temporomandibular joint
RID9786,meniscus of temporomandibular joint
RID9784,articular surface of temporomandibular joint
RID9782,inferior compartment of temporomandibular joint
RID9781,compartment of temporomandibular joint
RID44055,peripheral segment of seventh cervical spinal nerve
RID27162,nucleus proprius of lumbar segment of dorsal gray column of spinal cord
RID40314,muscle body of articularis cubiti
RID48919,skin of medial part of right second toe
RID44135,left subacromial bursa
RID30978,primary follicle of left ovary
RID42803,proximal metaphysis of middle phalanx of index finger
RID29254,segment of cell part cluster of neuraxis
RID23853,gray communicating ramus of left eleventh intercostal nerve
RID26813,gray matter of left posterior short insular gyrus
RID30076,anterior body wall
RID42942,metaphysis of ulna
RID36421,anteromedial frontal branch of right callosomarginal artery
RID33978,molecular layer of subiculum
RID42510,diaphysis proper of fifth metacarpal bone
RID43829,fourth dorsal digital branch of left radial nerve
RID49810,hepatobiliary phase
RID23144,c4 branch to scalenus medius
RID28262,dura mater of anterior rootlet of eighth cervical nerve
RID36779,internal pyramidal layer of left primary motor cortex
RID41001,dorsal ligament of intermetacarpal joint
RID26917,t6 segment of left substantia gelatinosa
RID20674,subbrachial nucleus
RID24150,s3 branch to multifidus
RID23371,nerve to first innermost intercostal muscle
RID49470,skeleton of upper limb
RID14882,branch to right greater occipital nerve
RID49826,through existing catheter
RID27028,t6 segment of marginal zone of dorsal gray column of spinal cord
RID28761,second digit
RID16773,neural network of bony part of metatarsal bone
RID27761,left sympathetic trunk
RID19215,nerve to extensor hallucis brevis
RID34761,ear-nose-throat disorder
RID39284,T3a tumor stage
RID23834,gray communicating ramus of right fifth intercostal nerve
RID42049,medial region of diaphysis of left clavicle
